Wavelength	62231 <10	sd	62231 10-20	sd	62231 20-45	sd	62231<45	sd
300.00	0.092841	0.0000	0.080273	0.076520	0.075321	0.076303	0.080470	0.076467
305.00	0.093910		0.082773	0.051275	0.076202	0.051222	0.081505	0.051272
310.00	0.095422		0.082695	0.037313	0.078402	0.037355	0.083439	0.037286
315.00	0.097198		0.085649	0.027814	0.079905	0.027989	0.084241	0.027943
320.00	0.098595		0.086475	0.021806	0.081652	0.021845	0.085435	0.021828
325.00	0.099891		0.088331	0.017608	0.082964	0.017491	0.085982	0.017351
330.00	0.10091		0.088747	0.014112	0.083915	0.014277	0.087425	0.014126
335.00	0.10243		0.090201	0.011949	0.085032	0.011867	0.087694	0.012022
340.00	0.10470		0.091819	0.010041	0.086196	0.010150	0.089099	0.010070
345.00	0.10533		0.092982	0.0083180	0.087350	0.0085120	0.090794	0.0083240
350.00	0.10682		0.094117	0.0070500	0.088643	0.0068710	0.091184	0.0068020
355.00	0.10904		0.095364	0.0060070	0.090032	0.0061000	0.092593	0.0059890
360.00	0.11122		0.097705	0.0050160	0.091285	0.0051690	0.094296	0.0050010
365.00	0.11313		0.098996	0.0042200	0.092602	0.0044630	0.095966	0.0042550
370.00	0.11444		0.10062	0.0036890	0.093881	0.0038960	0.097761	0.0037430
375.00	0.11682		0.10202	0.0033500	0.095226	0.0033900	0.098839	0.0033490
380.00	0.11881		0.10354	0.0031200	0.096527	0.0033090	0.10084	0.0031640
385.00	0.12089		0.10533	0.0031200	0.097837	0.0032700	0.10217	0.0031480
390.00	0.12272		0.10669	0.0033990	0.099128	0.0035520	0.10427	0.0034270
395.00	0.12417		0.10855	0.0042320	0.10034	0.0043560	0.10660	0.0042920
400.00	0.12765		0.11096	0.0018680	0.10140	0.0021900	0.10685	0.0020210
405.00	0.12926		0.11224	0.0015660	0.10242	0.0018780	0.10825	0.0016730
410.00	0.13147		0.11385	0.0013080	0.10337	0.0016790	0.10941	0.0014640
415.00	0.13330		0.11561	0.0011360	0.10427	0.0014730	0.11101	0.0013100
420.00	0.13521		0.11689	0.0010320	0.10518	0.0013610	0.11252	0.0011760
425.00	0.13737		0.11849	0.00099300	0.10622	0.0013850	0.11381	0.0012400
430.00	0.13925		0.11981	0.0010030	0.10720	0.0012910	0.11552	0.0011910
435.00	0.14157		0.12148	0.00098500	0.10806	0.0012460	0.11681	0.0011740
440.00	0.14311		0.12275	0.00090400	0.10898	0.0013400	0.11845	0.0011690
445.00	0.14530		0.12430	0.00087400	0.10979	0.0011880	0.11946	0.0011810
450.00	0.14683		0.12553	0.00084500	0.11057	0.0011890	0.12101	0.0011820
455.00	0.14916		0.12713	0.00084900	0.11136	0.0010650	0.12230	0.0010290
460.00	0.15060		0.12836	0.00090700	0.11215	0.0012750	0.12371	0.0010790
465.00	0.15268		0.12991	0.00090500	0.11290	0.0012550	0.12510	0.0010040
470.00	0.15440		0.13121	0.00090300	0.11381	0.0010170	0.12653	0.0010440
475.00	0.15637		0.13267	0.00080100	0.11470	0.00096600	0.12777	0.0012570
480.00	0.15810		0.13405	0.00087400	0.11556	0.0010230	0.12901	0.0013020
485.00	0.15985		0.13527	0.00090500	0.11630	0.0011420	0.13035	0.0013150
490.00	0.16182		0.13691	0.00097800	0.11699	0.0013630	0.13146	0.0013980
495.00	0.16334		0.13812	0.0010860	0.11761	0.0010220	0.13285	0.0015130
500.00	0.16541		0.13974	0.0011930	0.11801	0.00099900	0.13397	0.0014880
505.00	0.16694		0.14078	0.0012210	0.11853	0.0010590	0.13528	0.0016220
510.00	0.16897		0.14251	0.0011830	0.11918	0.0010810	0.13639	0.0016070
515.00	0.17085		0.14410	0.0012480	0.11987	0.0011470	0.13759	0.0016700
520.00	0.17248		0.14527	0.0012440	0.12070	0.0011790	0.13893	0.0016660
525.00	0.17470		0.14678	0.0014220	0.12156	0.0011440	0.13998	0.0018950
530.00	0.17596		0.14810	0.0012250	0.12237	0.0011160	0.14160	0.0018460
535.00	0.17810		0.14957	0.0012080	0.12324	0.0012020	0.14265	0.0021460
540.00	0.17935		0.15071	0.0011740	0.12408	0.0011460	0.14407	0.0022270
545.00	0.18137		0.15203	0.0011680	0.12483	0.0011580	0.14540	0.0023640
550.00	0.18242		0.15296	0.0011830	0.12577	0.00099700	0.14649	0.0024320
555.00	0.18416		0.15449	0.0012520	0.12651	0.0010630	0.14752	0.0017690
560.00	0.18584		0.15569	0.0010000	0.12709	0.00099000	0.14872	0.0018490
565.00	0.18734		0.15699	0.0010400	0.12771	0.0010380	0.14966	0.0017970
