Wavelength	64801 <10	sd	64801 10-20	sd	64801 20-45	sd	64801 <45	sd
300.00	0.094906	0.072271	0.076148	0.071697	0.071147	0.070970	0.080940	0.071386
305.00	0.098022	0.048465	0.078269	0.048067	0.073230	0.048102	0.083070	0.048376
310.00	0.099598	0.034206	0.081129	0.034789	0.076271	0.035013	0.083690	0.034764
315.00	0.10005	0.025711	0.082784	0.025812	0.077697	0.025913	0.085876	0.025735
320.00	0.10163	0.020204	0.083210	0.020178	0.078700	0.020220	0.085760	0.020213
325.00	0.10306	0.016007	0.084301	0.016265	0.079217	0.016194	0.086520	0.016249
330.00	0.10389	0.013322	0.085375	0.013126	0.080461	0.013327	0.087600	0.013109
335.00	0.10612	0.011154	0.085578	0.010999	0.080627	0.010929	0.088224	0.011049
340.00	0.10715	0.0092940	0.086717	0.0092780	0.081824	0.0093640	0.089659	0.0093140
345.00	0.10808	0.0077450	0.088718	0.0077900	0.082894	0.0078520	0.090350	0.0077860
350.00	0.11016	0.0067070	0.089219	0.0064490	0.083867	0.0064400	0.091369	0.0065820
355.00	0.11220	0.0055960	0.090844	0.0055810	0.084480	0.0056670	0.092700	0.0056500
360.00	0.11463	0.0047070	0.093202	0.0046680	0.086108	0.0048410	0.094943	0.0047350
365.00	0.11684	0.0040020	0.095015	0.0039230	0.087898	0.0041360	0.097297	0.0039730
370.00	0.11904	0.0035630	0.097128	0.0034780	0.089184	0.0036240	0.098981	0.0035210
375.00	0.12121	0.0032270	0.098076	0.0030720	0.090688	0.0031690	0.10042	0.0031400
380.00	0.12374	0.0029980	0.10028	0.0029090	0.091991	0.0031170	0.10254	0.0029580
385.00	0.12585	0.0029660	0.10205	0.0028920	0.093448	0.0031180	0.10465	0.0029430
390.00	0.12844	0.0032070	0.10408	0.0031820	0.095089	0.0033150	0.10677	0.0032380
395.00	0.13035	0.0040220	0.10644	0.0039060	0.096971	0.0040910	0.10973	0.0039370
400.00	0.13353	0.0019920	0.10733	0.0017600	0.098365	0.0021770	0.10894	0.0018110
405.00	0.13581	0.0016740	0.10885	0.0014760	0.099525	0.0019980	0.11023	0.0015810
410.00	0.13766	0.0015300	0.11039	0.0013080	0.10105	0.0018040	0.11224	0.0014160
415.00	0.14030	0.0014630	0.11239	0.0011750	0.10230	0.0017430	0.11386	0.0013610
420.00	0.14220	0.0014090	0.11394	0.0010860	0.10377	0.0016700	0.11577	0.0012980
425.00	0.14476	0.0013150	0.11587	0.0010080	0.10522	0.0016590	0.11748	0.0012120
430.00	0.14712	0.0012710	0.11747	0.0010230	0.10659	0.0015880	0.11895	0.0012160
435.00	0.14924	0.0012620	0.11917	0.00087200	0.10780	0.0015450	0.12068	0.0010910
440.00	0.15148	0.0012600	0.12094	0.00089800	0.10908	0.0014810	0.12216	0.0011210
445.00	0.15360	0.0013030	0.12263	0.00089000	0.11042	0.0016380	0.12377	0.0012010
450.00	0.15596	0.0012200	0.12433	0.00085600	0.11173	0.0016340	0.12520	0.0012090
455.00	0.15818	0.0012420	0.12586	0.00088000	0.11298	0.0017670	0.12677	0.0012090
460.00	0.16026	0.0012280	0.12756	0.00084000	0.11437	0.0016450	0.12823	0.0011840
465.00	0.16231	0.0012630	0.12917	0.00088500	0.11567	0.0016660	0.12958	0.0011540
470.00	0.16440	0.0012610	0.13076	0.00092100	0.11714	0.0016240	0.13100	0.0011460
475.00	0.16649	0.0013430	0.13229	0.00096300	0.11857	0.0015850	0.13241	0.0011360
480.00	0.16853	0.0012660	0.13383	0.00097400	0.12003	0.0016600	0.13389	0.0010870
485.00	0.17091	0.0012710	0.13541	0.00096500	0.12127	0.0016730	0.13516	0.0010840
490.00	0.17231	0.0013820	0.13666	0.0010310	0.12265	0.0017620	0.13671	0.0011040
495.00	0.17493	0.0013220	0.13834	0.00096600	0.12399	0.0018930	0.13786	0.0010810
500.00	0.17665	0.0013790	0.13983	0.00095200	0.12544	0.0020690	0.13960	0.0011550
505.00	0.17882	0.0014680	0.14127	0.0010530	0.12644	0.0022150	0.14053	0.0011840
510.00	0.18053	0.0013480	0.14273	0.00096200	0.12796	0.0021630	0.14249	0.0011870
515.00	0.18275	0.0014890	0.14413	0.0010410	0.12890	0.0022040	0.14352	0.0012920
520.00	0.18456	0.0014450	0.14549	0.00094700	0.13013	0.0020410	0.14488	0.0013170
525.00	0.18652	0.0013840	0.14704	0.00098100	0.13129	0.0019300	0.14629	0.0013410
530.00	0.18849	0.0013360	0.14850	0.00094000	0.13250	0.0019880	0.14766	0.0013540
535.00	0.19040	0.0013380	0.14998	0.00095100	0.13393	0.0020730	0.14923	0.0012540
540.00	0.19219	0.0013570	0.15143	0.00094000	0.13513	0.0020870	0.15051	0.0012420
545.00	0.19392	0.0013400	0.15275	0.00092800	0.13606	0.0021630	0.15191	0.0012480
550.00	0.19578	0.0013530	0.15407	0.00095200	0.13704	0.0020920	0.15314	0.0013090
555.00	0.19755	0.0014410	0.15538	0.00096300	0.13808	0.0020430	0.15435	0.0012480
560.00	0.19932	0.0014020	0.15677	0.00093200	0.13908	0.0020750	0.15557	0.0012890
565.00	0.20116	0.0014330	0.15814	0.00095200	0.13998	0.0020220	0.15673	0.0015070
570.00	0.20276	0.0013920	0.15934	0.0010000	0.14129	0.0021250	0.15793	0.0014980
575.00	0.20456	0.0014740	0.16068	0.0010170	0.14226	0.0021190	0.15890	0.0014590
580.00	0.20627	0.0013460	0.16211	0.0010140	0.14336	0.0021000	0.16004	0.0014180
585.00	0.20797	0.0013850	0.16332	0.0010580	0.14418	0.0022650	0.16118	0.0014840
590.00	0.20971	0.0015180	0.16458	0.0010590	0.14524	0.0022780	0.16235	0.0015190
595.00	0.21132	0.0014760	0.16588	0.00097100	0.14620	0.0024270	0.16349	0.0013950
600.00	0.21296	0.0014090	0.16709	0.0010820	0.14712	0.0022680	0.16451	0.0013680
605.00	0.21487	0.0014450	0.16835	0.0010830	0.14815	0.0023370	0.16542	0.0015470
610.00	0.21643	0.0014520	0.16980	0.0011510	0.14952	0.0024010	0.16698	0.0015220
615.00	0.21820	0.0015460	0.17134	0.0012750	0.15047	0.0025930	0.16821	0.0015230
620.00	0.21961	0.0013610	0.17264	0.0011790	0.15158	0.0024320	0.16981	0.0014650
625.00	0.22123	0.0016030	0.17398	0.0013200	0.15226	0.0025440	0.17101	0.0015820
630.00	0.22244	0.0016630	0.17523	0.0013520	0.15358	0.0025510	0.17277	0.0016580
635.00	0.22422	0.0015870	0.17662	0.0013710	0.15462	0.0026110	0.17367	0.0015550
640.00	0.22536	0.0017070	0.17772	0.0013440	0.15571	0.0025280	0.17506	0.0016690
645.00	0.22711	0.0016730	0.17916	0.0013220	0.15631	0.0026590	0.17602	0.0016060
650.00	0.22857	0.0015700	0.18015	0.0012470	0.15761	0.0025700	0.17735	0.0016270
655.00	0.22996	0.0015520	0.18121	0.0012970	0.15870	0.0027170	0.17809	0.0016630
660.00	0.23183	0.0015760	0.18228	0.0013330	0.15965	0.0026370	0.17905	0.0016470
665.00	0.23306	0.0015620	0.18325	0.0013530	0.16057	0.0027740	0.17994	0.0014680
670.00	0.23473	0.0016070	0.18434	0.0013810	0.16122	0.0026300	0.18073	0.0015170
675.00	0.23601	0.0016430	0.18526	0.0012990	0.16230	0.0025930	0.18177	0.0015410
680.00	0.23775	0.0016350	0.18635	0.0012030	0.16331	0.0026910	0.18257	0.0015530
685.00	0.23892	0.0017640	0.18729	0.0013130	0.16453	0.0030540	0.18369	0.0017850
690.00	0.24074	0.0017610	0.18849	0.0012760	0.16555	0.0032140	0.18447	0.0017570
695.00	0.24205	0.0016920	0.18943	0.0012790	0.16670	0.0036710	0.18572	0.0018140
700.00	0.24348	0.0017420	0.19056	0.0012540	0.16728	0.0039260	0.18631	0.0017580
705.00	0.24474	0.0017690	0.19151	0.0013060	0.16797	0.0042700	0.18751	0.0018220
710.00	0.24620	0.0016600	0.19248	0.0012050	0.16859	0.0042040	0.18829	0.0017310
715.00	0.24758	0.0017380	0.19355	0.0011900	0.16912	0.0043970	0.18940	0.0016490
720.00	0.24898	0.0019660	0.19458	0.0013390	0.16964	0.0045040	0.19009	0.0018020
725.00	0.24948	0.0017520	0.19605	0.0012840	0.17052	0.0045540	0.19182	0.0016000
730.00	0.25104	0.0016890	0.19707	0.0012840	0.17168	0.0043810	0.19269	0.0016030
735.00	0.25255	0.0018240	0.19824	0.0013460	0.17246	0.0044060	0.19381	0.0016700
740.00	0.25348	0.0018490	0.19921	0.0012850	0.17338	0.0043910	0.19439	0.0016060
745.00	0.25513	0.0018110	0.20047	0.0013970	0.17406	0.0042820	0.19546	0.0016640
750.00	0.25590	0.0019020	0.20139	0.0013970	0.17523	0.0043560	0.19648	0.0015640
755.00	0.25745	0.0017940	0.20271	0.0015290	0.17561	0.0042390	0.19723	0.0017060
760.00	0.25820	0.0020240	0.20359	0.0016590	0.17630	0.0042500	0.19873	0.0018520
765.00	0.26004	0.0021360	0.20480	0.0017200	0.17673	0.0039020	0.19924	0.0017780
770.00	0.26075	0.0019370	0.20544	0.0016920	0.17757	0.0037170	0.20008	0.0016780
775.00	0.26197	0.0020200	0.20618	0.0019090	0.17820	0.0034700	0.20185	0.0020530
780.00	0.26491	0.0021130	0.20782	0.0019030	0.17830	0.0032520	0.20105	0.0019150
785.00	0.26360	0.0022750	0.20764	0.0018760	0.17896	0.0030890	0.20313	0.0020530
790.00	0.26702	0.0022320	0.20873	0.0018250	0.17901	0.0029750	0.20195	0.0019410
795.00	0.26562	0.0023030	0.20883	0.0018770	0.17993	0.0030770	0.20355	0.0020910
800.00	0.26810	0.0025850	0.20989	0.0023020	0.18062	0.0034600	0.20415	0.0025430
805.00	0.26968	0.0025590	0.21076	0.0022960	0.18140	0.0033870	0.20475	0.0027350
810.00	0.26997	0.0024970	0.21173	0.0022600	0.18171	0.0032910	0.20621	0.0027260
815.00	0.27180	0.0026980	0.21230	0.0024130	0.18262	0.0033420	0.20654	0.0026890
820.00	0.27226	0.0028370	0.21253	0.0024260	0.18308	0.0035170	0.20762	0.0026230
825.00	0.27347	0.0027150	0.21348	0.0023520	0.18346	0.0034430	0.20778	0.0027030
830.00	0.27467	0.0026980	0.21451	0.0025160	0.18414	0.0033450	0.20867	0.0026580
835.00	0.27500	0.0026430	0.21450	0.0024170	0.18424	0.0034270	0.20919	0.0026940
840.00	0.27702	0.0025680	0.21571	0.0023320	0.18458	0.0033730	0.20891	0.0026140
845.00	0.27652	0.0025800	0.21596	0.0024370	0.18521	0.0033430	0.21031	0.0027150
850.00	0.27853	0.0023690	0.21637	0.0022770	0.18500	0.0031690	0.21021	0.0026110
855.00	0.27888	0.0029000	0.21693	0.0024120	0.18483	0.0029580	0.21118	0.0025830
860.00	0.27944	0.0023670	0.21674	0.0024540	0.18539	0.0028610	0.21093	0.0027730
865.00	0.28114	0.0023340	0.21754	0.0022190	0.18511	0.0028760	0.21154	0.0022650
870.00	0.28195	0.0024600	0.21801	0.0021980	0.18492	0.0026950	0.21185	0.0022200
875.00	0.28193	0.0021130	0.21844	0.0021400	0.18612	0.0027270	0.21242	0.0022160
880.00	0.28351	0.0023720	0.21851	0.0019890	0.18572	0.0028350	0.21284	0.0023350
885.00	0.28360	0.0022940	0.21891	0.0022120	0.18583	0.0025860	0.21343	0.0018840
890.00	0.28445	0.0022810	0.21901	0.0020950	0.18598	0.0023800	0.21382	0.0024080
895.00	0.28540	0.0021990	0.21955	0.0020720	0.18651	0.0025070	0.21429	0.0018380
900.00	0.28603	0.0020620	0.22018	0.0019020	0.18646	0.0028610	0.21434	0.0021950
905.00	0.28795	0.0024850	0.22050	0.0023600	0.18690	0.0025270	0.21507	0.0023030
910.00	0.28792	0.0022220	0.22105	0.0020420	0.18676	0.0023920	0.21578	0.0022410
915.00	0.28901	0.0023320	0.22156	0.0020450	0.18732	0.0024690	0.21614	0.0020710
920.00	0.28969	0.0022350	0.22240	0.0018810	0.18769	0.0027960	0.21652	0.0020460
925.00	0.29005	0.0021580	0.22310	0.0019800	0.18844	0.0025700	0.21749	0.0024000
930.00	0.29092	0.0021760	0.22366	0.0019090	0.18853	0.0026050	0.21806	0.0023660
935.00	0.29190	0.0022520	0.22361	0.0019440	0.18879	0.0023860	0.21877	0.0019420
940.00	0.29358	0.0022180	0.22454	0.0017520	0.18965	0.0024870	0.21873	0.0021290
945.00	0.29386	0.0020580	0.22569	0.0016170	0.19087	0.0025360	0.21949	0.0022710
950.00	0.29515	0.0021730	0.22651	0.0018270	0.19111	0.0024310	0.22049	0.0020400
955.00	0.29601	0.0023160	0.22701	0.0019320	0.19222	0.0022140	0.22140	0.0021220
960.00	0.29703	0.0021730	0.22806	0.0017930	0.19227	0.0023910	0.22180	0.0019030
965.00	0.29795	0.0020230	0.22903	0.0017680	0.19293	0.0024210	0.22263	0.0017480
970.00	0.29921	0.0020770	0.22932	0.0017580	0.19377	0.0021690	0.22339	0.0018140
975.00	0.30014	0.0022510	0.23070	0.0019200	0.19454	0.0024380	0.22418	0.0020700
980.00	0.30093	0.0020540	0.23167	0.0015770	0.19527	0.0021860	0.22490	0.0019500
985.00	0.30212	0.0020690	0.23261	0.0019340	0.19621	0.0019120	0.22630	0.0019120
990.00	0.30301	0.0022110	0.23321	0.0017890	0.19707	0.0022230	0.22695	0.0019900
995.00	0.30379	0.0021170	0.23420	0.0017190	0.19729	0.0019860	0.22779	0.0020410
1000.0	0.30464	0.0021880	0.23498	0.0017270	0.19855	0.0023870	0.22878	0.0019720
1005.0	0.30601	0.0021500	0.23618	0.0019860	0.19890	0.0022330	0.22983	0.0018970
1010.0	0.30672	0.0023830	0.23680	0.0017900	0.19984	0.0025770	0.23048	0.0018680
1015.0	0.30809	0.0023400	0.23826	0.0017310	0.20091	0.0019570	0.23137	0.0021320
1020.0	0.30886	0.0023450	0.23903	0.0021410	0.20211	0.0023110	0.23269	0.0022260
1025.0	0.30996	0.0022780	0.24017	0.0019370	0.20258	0.0023230	0.23343	0.0025150
1030.0	0.31043	0.0024070	0.24106	0.0018840	0.20351	0.0020990	0.23463	0.0024120
1035.0	0.31182	0.0021300	0.24232	0.0018970	0.20401	0.0017690	0.23564	0.0020250
1040.0	0.31214	0.0022520	0.24311	0.0019150	0.20462	0.0020910	0.23618	0.0018000
1045.0	0.31330	0.0020920	0.24452	0.0020390	0.20598	0.0021090	0.23754	0.0023070
1050.0	0.31473	0.0024130	0.24463	0.0019990	0.20681	0.0022000	0.23836	0.0022840
1055.0	0.31569	0.0022510	0.24604	0.0020650	0.20753	0.0022570	0.23900	0.0020300
1060.0	0.31691	0.0021690	0.24681	0.0021110	0.20849	0.0018690	0.23978	0.0023210
1065.0	0.31728	0.0022440	0.24791	0.0022280	0.20893	0.0023250	0.24069	0.0021360
1070.0	0.31878	0.0023860	0.24856	0.0019940	0.20945	0.0020540	0.24193	0.0022880
1075.0	0.31949	0.0023860	0.24991	0.0020120	0.21003	0.0021870	0.24242	0.0020290
1080.0	0.32033	0.0021450	0.25088	0.0023230	0.21104	0.0020050	0.24348	0.0021480
1085.0	0.32163	0.0021870	0.25180	0.0021220	0.21156	0.0022260	0.24440	0.0021060
1090.0	0.32239	0.0020350	0.25303	0.0019470	0.21265	0.0022480	0.24538	0.0022410
1095.0	0.32380	0.0021810	0.25410	0.0020640	0.21317	0.0024000	0.24581	0.0019260
1100.0	0.32478	0.0023570	0.25500	0.0021110	0.21436	0.0023920	0.24666	0.0018950
1105.0	0.32567	0.0021790	0.25590	0.0022760	0.21524	0.0026010	0.24769	0.0022070
1110.0	0.32696	0.0023420	0.25680	0.0022610	0.21608	0.0027220	0.24844	0.0022810
1115.0	0.32752	0.0022790	0.25781	0.0022160	0.21693	0.0029390	0.24964	0.0024100
1120.0	0.32919	0.0024940	0.25880	0.0022030	0.21776	0.0032590	0.25044	0.0021380
1125.0	0.33008	0.0021170	0.25976	0.0022450	0.21832	0.0026930	0.25048	0.0021730
1130.0	0.33141	0.0024310	0.26047	0.0023800	0.21975	0.0029880	0.25093	0.0022020
1135.0	0.33182	0.0023510	0.26190	0.0024440	0.22068	0.0029040	0.25300	0.0021120
1140.0	0.33349	0.0023100	0.26224	0.0021420	0.22136	0.0025760	0.25275	0.0022790
1145.0	0.33386	0.0022580	0.26349	0.0023780	0.22247	0.0024220	0.25398	0.0025620
1150.0	0.33518	0.0023310	0.26435	0.0021660	0.22306	0.0026970	0.25378	0.0022880
1155.0	0.33577	0.0023450	0.26515	0.0025400	0.22401	0.0021220	0.25463	0.0020990
1160.0	0.33707	0.0023950	0.26606	0.0023210	0.22495	0.0024210	0.25554	0.0021870
1165.0	0.33808	0.0021730	0.26657	0.0024420	0.22570	0.0027360	0.25654	0.0024760
1170.0	0.33952	0.0022720	0.26773	0.0023330	0.22634	0.0022600	0.25695	0.0022400
1175.0	0.33972	0.0021960	0.26849	0.0022040	0.22724	0.0022770	0.25759	0.0022470
1180.0	0.34073	0.0024060	0.26914	0.0022430	0.22772	0.0022550	0.25856	0.0024460
1185.0	0.34232	0.0022500	0.27012	0.0025520	0.22846	0.0023570	0.25926	0.0021220
1190.0	0.34214	0.0021990	0.27104	0.0022720	0.22957	0.0024300	0.25974	0.0022580
1195.0	0.34394	0.0024700	0.27178	0.0022460	0.23028	0.0025150	0.26101	0.0026370
1200.0	0.34462	0.0023660	0.27229	0.0021690	0.23075	0.0023070	0.26238	0.0023270
1205.0	0.34534	0.0024010	0.27338	0.0023750	0.23104	0.0028760	0.26341	0.0027400
1210.0	0.34498	0.0022650	0.27463	0.0023730	0.23180	0.0029710	0.26439	0.0026000
1215.0	0.34725	0.0023640	0.27527	0.0025030	0.23232	0.0028900	0.26542	0.0023760
1220.0	0.34766	0.0023360	0.27599	0.0022560	0.23338	0.0029560	0.26590	0.0023990
1225.0	0.34895	0.0021520	0.27762	0.0025060	0.23405	0.0032300	0.26664	0.0026160
1230.0	0.34886	0.0021750	0.27773	0.0022020	0.23462	0.0027100	0.26785	0.0023620
