Wavelength	67481<10	sd	67481 10-20	sd	67481 20-45	sd	67481 <45	sd
300.00	0.18101	0.055176	0.15129	0.055328	0.11976	0.056376	0.15933	0.055228
305.00	0.17930	0.036041	0.14862	0.035945	0.11992	0.036233	0.15678	0.044818
310.00	0.18104	0.025964	0.15015	0.026532	0.12022	0.026376	0.15980	0.026530
315.00	0.18143	0.020472	0.15015	0.019734	0.12122	0.020367	0.16038	0.019974
320.00	0.18566	0.015900	0.15228	0.015906	0.12244	0.015772	0.16354	0.015867
325.00	0.18664	0.012665	0.15519	0.012798	0.12381	0.013118	0.16586	0.012753
330.00	0.19123	0.010721	0.15685	0.010504	0.12567	0.010651	0.16757	0.010555
335.00	0.19468	0.0089550	0.16043	0.0088000	0.12786	0.0090510	0.17116	0.0088290
340.00	0.19892	0.0075890	0.16416	0.0074200	0.13011	0.0079460	0.17446	0.0075480
345.00	0.20237	0.0062190	0.16753	0.0063030	0.13269	0.0071210	0.17807	0.0064560
350.00	0.20675	0.0055720	0.17094	0.0052040	0.13515	0.0063540	0.18092	0.0055340
355.00	0.21118	0.0050250	0.17493	0.0047560	0.13799	0.0058880	0.18519	0.0048570
360.00	0.21493	0.0043980	0.17870	0.0042550	0.14085	0.0052500	0.18945	0.0042840
365.00	0.21917	0.0040470	0.18172	0.0038110	0.14340	0.0047770	0.19296	0.0039380
370.00	0.22267	0.0038790	0.18534	0.0035720	0.14581	0.0045120	0.19637	0.0035470
375.00	0.22669	0.0034310	0.18844	0.0032680	0.14834	0.0045690	0.19974	0.0035340
380.00	0.23024	0.0034790	0.19199	0.0031570	0.15073	0.0045090	0.20323	0.0035940
385.00	0.23374	0.0035460	0.19500	0.0032010	0.15278	0.0047160	0.20710	0.0034100
390.00	0.23707	0.0036830	0.19768	0.0033510	0.15451	0.0052820	0.21082	0.0037020
395.00	0.24050	0.0041880	0.20116	0.0039180	0.15649	0.0056350	0.21490	0.0042670
400.00	0.24533	0.0031010	0.20412	0.0026770	0.15835	0.0043520	0.21898	0.0030500
405.00	0.24838	0.0028800	0.20643	0.0025490	0.15994	0.0046200	0.22106	0.0030710
410.00	0.25171	0.0028030	0.20915	0.0024560	0.16156	0.0043770	0.22396	0.0029960
415.00	0.25499	0.0027990	0.21165	0.0024910	0.16326	0.0045450	0.22637	0.0030820
420.00	0.25782	0.0029240	0.21393	0.0024970	0.16466	0.0043450	0.22924	0.0030800
425.00	0.26130	0.0028590	0.21634	0.0024740	0.16618	0.0045240	0.23167	0.0029770
430.00	0.26434	0.0028640	0.21879	0.0025320	0.16782	0.0044260	0.23433	0.0029610
435.00	0.26748	0.0029690	0.22109	0.0025260	0.16924	0.0049960	0.23602	0.0031060
440.00	0.27011	0.0029960	0.22315	0.0025580	0.17054	0.0042850	0.23839	0.0030410
445.00	0.27310	0.0030590	0.22512	0.0025280	0.17186	0.0047770	0.23993	0.0033220
450.00	0.27543	0.0030820	0.22716	0.0026150	0.17309	0.0048700	0.24210	0.0033240
455.00	0.27869	0.0029940	0.22930	0.0025450	0.17383	0.0053840	0.24365	0.0035980
460.00	0.28089	0.0030100	0.23112	0.0025620	0.17469	0.0053160	0.24601	0.0036650
465.00	0.28402	0.0030710	0.23326	0.0026530	0.17594	0.0050270	0.24836	0.0031180
470.00	0.28601	0.0032130	0.23487	0.0027500	0.17704	0.0049080	0.25036	0.0031510
475.00	0.28871	0.0031400	0.23678	0.0027170	0.17820	0.0053410	0.25121	0.0033590
480.00	0.29089	0.0032320	0.23854	0.0028230	0.17949	0.0054410	0.25340	0.0034010
485.00	0.29357	0.0031700	0.24037	0.0027040	0.18074	0.0051100	0.25536	0.0030670
490.00	0.29591	0.0033580	0.24223	0.0027840	0.18164	0.0044550	0.25729	0.0031500
495.00	0.29846	0.0032450	0.24382	0.0027480	0.18260	0.0047220	0.25829	0.0034730
500.00	0.30042	0.0032980	0.24561	0.0027300	0.18359	0.0044430	0.26013	0.0035200
505.00	0.30272	0.0035260	0.24702	0.0029250	0.18474	0.0049870	0.26113	0.0033600
510.00	0.30506	0.0034470	0.24890	0.0028730	0.18587	0.0050550	0.26333	0.0032940
515.00	0.30784	0.0033290	0.25096	0.0027810	0.18690	0.0042450	0.26511	0.0030160
520.00	0.30988	0.0034190	0.25262	0.0029280	0.18783	0.0038350	0.26681	0.0031640
525.00	0.31260	0.0034750	0.25453	0.0029450	0.18871	0.0037990	0.26822	0.0033010
530.00	0.31441	0.0033530	0.25608	0.0029080	0.18956	0.0031400	0.26994	0.0032460
535.00	0.31688	0.0035450	0.25791	0.0029200	0.19055	0.0034490	0.27141	0.0033830
540.00	0.31925	0.0035110	0.25959	0.0030240	0.19162	0.0031760	0.27311	0.0033900
545.00	0.32122	0.0034600	0.26114	0.0030080	0.19261	0.0032020	0.27445	0.0034670
550.00	0.32309	0.0036420	0.26258	0.0031020	0.19356	0.0032140	0.27598	0.0036380
555.00	0.32493	0.0034920	0.26402	0.0030000	0.19471	0.0027460	0.27709	0.0032030
560.00	0.32663	0.0036660	0.26564	0.0029580	0.19588	0.0024600	0.27860	0.0032070
565.00	0.32910	0.0037720	0.26738	0.0031030	0.19697	0.0022660	0.27983	0.0035050
570.00	0.33077	0.0036870	0.26864	0.0031760	0.19827	0.0023400	0.28096	0.0035690
575.00	0.33311	0.0036640	0.27031	0.0031570	0.19939	0.0022870	0.28195	0.0035790
580.00	0.33485	0.0036560	0.27190	0.0032510	0.20028	0.0022610	0.28355	0.0037070
585.00	0.33694	0.0036320	0.27355	0.0030650	0.20096	0.0024150	0.28435	0.0036420
590.00	0.33863	0.0035670	0.27455	0.0030340	0.20176	0.0023450	0.28554	0.0036240
595.00	0.34050	0.0036570	0.27599	0.0031030	0.20238	0.0024770	0.28635	0.0038200
600.00	0.34251	0.0035760	0.27769	0.0032120	0.20316	0.0024580	0.28772	0.0038170
605.00	0.34443	0.0035900	0.27902	0.0031620	0.20395	0.0030340	0.28786	0.0039050
610.00	0.34618	0.0037620	0.28056	0.0032290	0.20491	0.0031380	0.29013	0.0039790
